ACACIA_BOAT	Acacia Boat	Bateau en acacia
DEAD_BUBBLE_CORAL_WALL_FAN	Dead Bubble Coral Wall Fan	Gorgone de corail bulles morte murale
DEAD_BUSH	Dead Bush	Buisson mort
DEAD_FIRE_CORAL	Dead Fire Coral	Corail de feu mort
DEAD_FIRE_CORAL_BLOCK	Dead Fire Coral Block	Bloc de corail de feu mort
DEAD_FIRE_CORAL_FAN	Dead Fire Coral Fan	Gorgone de corail de feu morte
DEAD_FIRE_CORAL_WALL_FAN	Dead Fire Coral Wall Fan	Gorgone de corail de feu morte murale
DEAD_HORN_CORAL	Dead Horn Coral	Corail corné mort
DEAD_HORN_CORAL_BLOCK	Dead Horn Coral Block	Bloc de corail corné mort
DEAD_HORN_CORAL_FAN	Dead Horn Coral Fan	Gorgone de corail corné morte
DEAD_HORN_CORAL_WALL_FAN	Dead Horn Coral Wall Fan	Gorgone de corail corné morte murale
DEAD_TUBE_CORAL	Dead Tube Coral	Corail tubulaire mort
DEAD_TUBE_CORAL_BLOCK	Dead Tube Coral Block	Bloc de corail tubulaire mort
DEAD_TUBE_CORAL_FAN	Dead Tube Coral Fan	Gorgone de corail tubulaire morte
DEAD_TUBE_CORAL_WALL_FAN	Dead Tube Coral Wall Fan	Gorgone de corail tubulaire morte murale
DEBUG_STICK	Debug Stick	Bâton de débogage
DECORATED_POT	Decorated Pot	Vase décoré
DEEPSLATE	Deepslate	Ardoise des abîmes
DEEPSLATE_BRICKS	Deepslate Bricks	Ardoise des abîmes taillée
DEEPSLATE_BRICK_SLAB	Deepslate Brick Slab	Dalle d'ardoise des abîmes taillée
DEEPSLATE_BRICK_STAIRS	Deepslate Brick Stairs	Escalier en ardoise des abîmes taillée
DEEPSLATE_BRICK_WALL	Deepslate Brick Wall	Muret d'ardoise des abîmes taillée
DEEPSLATE_COAL_ORE	Deepslate Coal Ore	Minerai de charbon des abîmes
DEEPSLATE_COPPER_ORE	Deepslate Copper Ore	Minerai de cuivre des abîmes
DEEPSLATE_DIAMOND_ORE	Deepslate Diamond Ore	Minerai de diamant des abîmes
DEEPSLATE_EMERALD_ORE	Deepslate Emerald Ore	Minerai d'émeraude des abîmes
DEEPSLATE_GOLD_ORE	Deepslate Gold Ore	Minerai d'or des abîmes
DEEPSLATE_IRON_ORE	Deepslate Iron Ore	Minerai de fer des abîmes
DEEPSLATE_LAPIS_ORE	Deepslate Lapis Lazuli Ore	Minerai de lapis-lazuli des abîmes
DEEPSLATE_REDSTONE_ORE	Deepslate Redstone Ore	Minerai de redstone des abîmes
DEEPSLATE_TILES	Deepslate Tiles	Ardoise des abîmes carrelée
DEEPSLATE_TILE_SLAB	Deepslate Tile Slab	Dalle d'ardoise des abîmes carrelée
DEEPSLATE_TILE_STAIRS	Deepslate Tile Stairs	Escalier en ardoise des abîmes carrelée
DEEPSLATE_TILE_WALL	Deepslate Tile Wall	Muret d'ardoise des abîmes carrelée
DETECTOR_RAIL	Detector Rail	Rails détecteurs
DIAMOND	Diamond	Diamant
DIAMOND_AXE	Diamond Axe	Hache en diamant
DIAMOND_BLOCK	Block of Diamond	Bloc de diamant
DIAMOND_BOOTS	Diamond Boots	Bottes en diamant
DIAMOND_CHESTPLATE	Diamond Chestplate	Plastron en diamant
DIAMOND_HELMET	Diamond Helmet	Casque en diamant
DIAMOND_HOE	Diamond Hoe	Houe en diamant
DIAMOND_HORSE_ARMOR	Diamond Horse Armor	Armure en diamant pour cheval
DIAMOND_LEGGINGS	Diamond Leggings	Jambières en diamant
DIAMOND_NAUTILUS_ARMOR	Diamond Nautilus Armor	Armure en diamant pour nautile
DIAMOND_ORE	Diamond Ore	Minerai de diamant
DIAMOND_PICKAXE	Diamond Pickaxe	Pioche en diamant
DIAMOND_SHOVEL	Diamond Shovel	Pelle en diamant
DIAMOND_SPEAR	Diamond Spear	Lance en diamant
DIAMOND_SWORD	Diamond Sword	Épée en diamant
DIORITE	Diorite	Diorite
DIORITE_SLAB	Diorite Slab	Dalle de diorite
DIORITE_STAIRS	Diorite Stairs	Escalier en diorite
DIORITE_WALL	Diorite Wall	Muret de diorite
DIRT	Dirt	Terre
DIRT_PATH	Dirt Path	Chemin de terre
DISC_FRAGMENT_5	Disc Fragment	Fragment de disque
DISPENSER	Dispenser	Distributeur
DOLPHIN_SPAWN_EGG	Dolphin Spawn Egg	Oeuf d'apparition de dauphin
DONKEY_SPAWN_EGG	Donkey Spawn Egg	Oeuf d'apparition d'âne
DRAGON_BREATH	Dragon's Breath	Souffle de dragon
DRAGON_EGG	Dragon Egg	Oeuf de dragon
DRAGON_HEAD	Dragon Head	Tête de dragon
DRAGON_WALL_HEAD	Dragon Wall Head	Tête de dragon murale
DRIED_GHAST	Dried Ghast	Ghast desséché
DRIED_KELP	Dried Kelp	Algue séchée
DRIED_KELP_BLOCK	Dried Kelp Block	Bloc d'algues séchées
DRIPSTONE_BLOCK	Dripstone Block	Bloc de spéléothème
DROPPER	Dropper	Dropper
DROWNED_SPAWN_EGG	Drowned Spawn Egg	Oeuf d'apparition de noyé
DUNE_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
ECHO_SHARD	Echo Shard	Éclat d'écho
EGG	Egg	Oeuf
ELDER_GUARDIAN_SPAWN_EGG	Elder Guardian Spawn Egg	Oeuf d'apparition de grand gardien
ELYTRA	Elytra	Élytres
EMERALD	Emerald	Émeraude
EMERALD_BLOCK	Block of Emerald	Bloc d'émeraude
EMERALD_ORE	Emerald Ore	Minerai d'émeraude
ENCHANTED_BOOK	Enchanted Book	Livre enchanté
ENCHANTED_GOLDEN_APPLE	Enchanted Golden Apple	Pomme dorée enchantée
ENCHANTING_TABLE	Enchanting Table	Table d'enchantement
ENDERMAN_SPAWN_EGG	Enderman Spawn Egg	Oeuf d'apparition d'Enderman
ENDERMITE_SPAWN_EGG	Endermite Spawn Egg	Oeuf d'apparition d'Endermite
ENDER_CHEST	Ender Chest	Coffre de l'Ender
ENDER_DRAGON_SPAWN_EGG	Ender Dragon Spawn Egg	Oeuf d'apparition d'Ender Dragon
ENDER_EYE	Eye of Ender	Oeil de l'Ender
ENDER_PEARL	Ender Pearl	Perle de l'Ender
END_CRYSTAL	End Crystal	Cristal de l'End
END_GATEWAY	End Gateway	Passerelle de l'End
END_PORTAL	End Portal	Portail de l'End
END_PORTAL_FRAME	End Portal Frame	Cadre de portail de l'End
END_ROD	End Rod	Barre de l'End
END_STONE	End Stone	Pierre de l'End
END_STONE_BRICKS	End Stone Bricks	Pierre taillée de l'End
END_STONE_BRICK_SLAB	End Stone Brick Slab	Dalle de pierre taillée de l'End
END_STONE_BRICK_STAIRS	End Stone Brick Stairs	Escalier en pierre taillée de l'End
END_STONE_BRICK_WALL	End Stone Brick Wall	Muret de pierre taillée de l'End
EVOKER_SPAWN_EGG	Evoker Spawn Egg	Oeuf d'apparition d'évocateur
EXPERIENCE_BOTTLE	Bottle o' Enchanting	Fiole d'expérience
EXPLORER_POTTERY_SHERD	Explorer Pottery Sherd	Tesson de poterie d'explorateur
EXPOSED_CHISELED_COPPER	Exposed Chiseled Copper	Cuivre sculpté exposé
EXPOSED_COPPER	Exposed Copper	Cuivre exposé
EXPOSED_COPPER_BARS	Exposed Copper Bars	Barreaux de cuivre exposé
EXPOSED_COPPER_BULB	Exposed Copper Bulb	Ampoule en cuivre exposé
EXPOSED_COPPER_CHAIN	Exposed Copper Chain	Chaîne en cuivre exposé
EXPOSED_COPPER_CHEST	Exposed Copper Chest	Coffre en cuivre exposé
EXPOSED_COPPER_DOOR	Exposed Copper Door	Porte en cuivre exposé
EXPOSED_COPPER_GOLEM_STATUE	Exposed Copper Golem Statue	Statue de golem de cuivre exposé
EXPOSED_COPPER_GRATE	Exposed Copper Grate	Grille en cuivre exposé
EXPOSED_COPPER_LANTERN	Exposed Copper Lantern	Lanterne en cuivre exposé
EXPOSED_COPPER_TRAPDOOR	Exposed Copper Trapdoor	Trappe en cuivre exposé
EXPOSED_CUT_COPPER	Exposed Cut Copper	Cuivre taillé exposé
EXPOSED_CUT_COPPER_SLAB	Exposed Cut Copper Slab	Dalle de cuivre taillé exposé
EXPOSED_CUT_COPPER_STAIRS	Exposed Cut Copper Stairs	Escalier en cuivre taillé exposé
EXPOSED_LIGHTNING_ROD	Exposed Lightning Rod	Paratonnerre exposé
EYE_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
FARMLAND	Farmland	Terre labourée
FEATHER	Feather	Plume
FERMENTED_SPIDER_EYE	Fermented Spider Eye	Oeil d'araignée fermenté
FERN	Fern	Fougère
FIELD_MASONED_BANNER_PATTERN	Field Masoned Banner Pattern	Motif de champ maçonné pour bannière
FILLED_MAP	Map	Carte
FIRE	Fire	Feu
FIREFLY_BUSH	Firefly Bush	Buisson à lucioles
FIREWORK_ROCKET	Firework Rocket	Fusée de feu d'artifice
FIREWORK_STAR	Firework Star	Étoile de feu d'artifice
FIRE_CHARGE	Fire Charge	Charge de feu
FIRE_CORAL	Fire Coral	Corail de feu
FIRE_CORAL_BLOCK	Fire Coral Block	Bloc de corail de feu
FIRE_CORAL_FAN	Fire Coral Fan	Gorgone de corail de feu
FIRE_CORAL_WALL_FAN	Fire Coral Wall Fan	Gorgone de corail de feu murale
FISHING_ROD	Fishing Rod	Canne à pêche
FLETCHING_TABLE	Fletching Table	Table d'archerie
FLINT	Flint	Silex
FLINT_AND_STEEL	Flint and Steel	Briquet
FLOWERING_AZALEA	Flowering Azalea	Azalée fleurie
FLOWERING_AZALEA_LEAVES	Flowering Azalea Leaves	Feuilles d'azalée fleurie
FLOWER_BANNER_PATTERN	Banner Pattern	Motif de bannière
FLOWER_POT	Flower Pot	Pot de fleurs
FLOW_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
FLOW_BANNER_PATTERN	Banner Pattern	Motif de bannière
FLOW_POTTERY_SHERD	Flow Pottery Sherd	Tesson de poterie de tourbillon
FOX_SPAWN_EGG	Fox Spawn Egg	Oeuf d'apparition de renard
FRIEND_POTTERY_SHERD	Friend Pottery Sherd	Tesson de poterie d'ami
FROGSPAWN	Frogspawn	Oeufs de grenouille
FROG_SPAWN_EGG	Frog Spawn Egg	Oeuf d'apparition de grenouille
FROSTED_ICE	Frosted Ice	Glace givrée
FURNACE	Furnace	Fourneau
FURNACE_MINECART	Minecart with Furnace	Wagonnet motorisé
GHAST_SPAWN_EGG	Ghast Spawn Egg	Oeuf d'apparition de Ghast
GHAST_TEAR	Ghast Tear	Larme de Ghast
GILDED_BLACKSTONE	Gilded Blackstone	Roche noire dorée
GLASS	Glass	Verre
GLASS_BOTTLE	Glass Bottle	Fiole
GLASS_PANE	Glass Pane	Vitre
GLISTERING_MELON_SLICE	Glistering Melon Slice	Tranche de pastèque scintillante
GLOBE_BANNER_PATTERN	Banner Pattern	Motif de bannière
GLOWSTONE	Glowstone	Pierre lumineuse
GLOWSTONE_DUST	Glowstone Dust	Poudre lumineuse
GLOW_BERRIES	Glow Berries	Baies lumineuses
GLOW_INK_SAC	Glow Ink Sac	Poche d'encre luisante
GLOW_ITEM_FRAME	Glow Item Frame	Cadre luisant
GLOW_LICHEN	Glow Lichen	Lichen lumineux
GLOW_SQUID_SPAWN_EGG	Glow Squid Spawn Egg	Oeuf d'apparition de poulpe luisant
GOAT_HORN	Goat Horn	Corne de chèvre
GOAT_SPAWN_EGG	Goat Spawn Egg	Oeuf d'apparition de chèvre
GOLDEN_APPLE	Golden Apple	Pomme dorée
GOLDEN_AXE	Golden Axe	Hache en or
GOLDEN_BOOTS	Golden Boots	Bottes en or
GOLDEN_CARROT	Golden Carrot	Carotte dorée
GOLDEN_CHESTPLATE	Golden Chestplate	Plastron en or
GOLDEN_DANDELION	Golden Dandelion	Pissenlit dore
GOLDEN_HELMET	Golden Helmet	Casque en or
GOLDEN_HOE	Golden Hoe	Houe en or
GOLDEN_HORSE_ARMOR	Golden Horse Armor	Armure en or pour cheval
GOLDEN_LEGGINGS	Golden Leggings	Jambières en or
GOLDEN_NAUTILUS_ARMOR	Golden Nautilus Armor	Armure en or pour nautile
GOLDEN_PICKAXE	Golden Pickaxe	Pioche en or
GOLDEN_SHOVEL	Golden Shovel	Pelle en or
GOLDEN_SPEAR	Golden Spear	Lance en or
GOLDEN_SWORD	Golden Sword	Épée en or
GOLD_BLOCK	Block of Gold	Bloc d'or
GOLD_INGOT	Gold Ingot	Lingot d'or
GOLD_NUGGET	Gold Nugget	Pépite d'or
GOLD_ORE	Gold Ore	Minerai d'or
GRANITE	Granite	Granite
GRANITE_SLAB	Granite Slab	Dalle de granite
GRANITE_STAIRS	Granite Stairs	Escalier en granite
GRANITE_WALL	Granite Wall	Muret de granite
GRASS_BLOCK	Grass Block	Bloc d'herbe
GRAVEL	Gravel	Gravier
GRAY_BANNER	Gray Banner	Bannière grise
GRAY_BED	Gray Bed	Lit gris
GRAY_BUNDLE	Gray Bundle	Sac gris
GRAY_CANDLE	Gray Candle	Bougie grise
GRAY_CANDLE_CAKE	Cake with Gray Candle	Gâteau à bougie grise
GRAY_CARPET	Gray Carpet	Tapis gris
GRAY_CONCRETE	Gray Concrete	Béton gris
GRAY_CONCRETE_POWDER	Gray Concrete Powder	Béton gris en poudre
GRAY_DYE	Gray Dye	Teinture grise
GRAY_GLAZED_TERRACOTTA	Gray Glazed Terracotta	Terre cuite émaillée grise
GRAY_HARNESS	Gray Harness	Harnais gris
GRAY_SHULKER_BOX	Gray Shulker Box	Boîte de Shulker grise
GRAY_STAINED_GLASS	Gray Stained Glass	Verre gris
GRAY_STAINED_GLASS_PANE	Gray Stained Glass Pane	Vitre grise
GRAY_TERRACOTTA	Gray Terracotta	Terre cuite grise
GRAY_WOOL	Gray Wool	Laine grise
GREEN_BANNER	Green Banner	Bannière verte
GREEN_BED	Green Bed	Lit vert
GREEN_BUNDLE	Green Bundle	Sac vert
GREEN_CANDLE	Green Candle	Bougie verte
GREEN_CANDLE_CAKE	Cake with Green Candle	Gâteau à bougie verte
GREEN_CARPET	Green Carpet	Tapis vert
GREEN_CONCRETE	Green Concrete	Béton vert
GREEN_CONCRETE_POWDER	Green Concrete Powder	Béton vert en poudre
GREEN_DYE	Green Dye	Teinture verte
GREEN_GLAZED_TERRACOTTA	Green Glazed Terracotta	Terre cuite émaillée verte
GREEN_HARNESS	Green Harness	Harnais vert
GREEN_SHULKER_BOX	Green Shulker Box	Boîte de Shulker verte
GREEN_STAINED_GLASS	Green Stained Glass	Verre vert
GREEN_STAINED_GLASS_PANE	Green Stained Glass Pane	Vitre verte
GREEN_TERRACOTTA	Green Terracotta	Terre cuite verte
GREEN_WOOL	Green Wool	Laine verte
GRINDSTONE	Grindstone	Meule
GUARDIAN_SPAWN_EGG	Guardian Spawn Egg	Oeuf d'apparition de gardien
GUNPOWDER	Gunpowder	Poudre à canon
GUSTER_BANNER_PATTERN	Banner Pattern	Motif de bannière
GUSTER_POTTERY_SHERD	Guster Pottery Sherd	Tesson de poterie de rafaleur
HANGING_ROOTS	Hanging Roots	Racines suspendues
HAPPY_GHAST_SPAWN_EGG	Happy Ghast Spawn Egg	Oeuf d'apparition de Ghast joyeux
HAY_BLOCK	Hay Bale	Botte de paille
HEARTBREAK_POTTERY_SHERD	Heartbreak Pottery Sherd	Tesson de poterie de coeur brisé
HEART_OF_THE_SEA	Heart of the Sea	Coeur de la mer
HEART_POTTERY_SHERD	Heart Pottery Sherd	Tesson de poterie de coeur
HEAVY_CORE	Heavy Core	Noyau lourd
HEAVY_WEIGHTED_PRESSURE_PLATE	Heavy Weighted Pressure Plate	Plaque de pression pondérée lourde
HOGLIN_SPAWN_EGG	Hoglin Spawn Egg	Oeuf d'apparition de Hoglin
HONEYCOMB	Honeycomb	Rayon de miel
HONEYCOMB_BLOCK	Honeycomb Block	Bloc de rayon de miel
HONEY_BLOCK	Honey Block	Bloc de miel
HONEY_BOTTLE	Honey Bottle	Fiole de miel
HOPPER	Hopper	Entonnoir
HOPPER_MINECART	Minecart with Hopper	Wagonnet à entonnoir
HORN_CORAL	Horn Coral	Corail corné
HORN_CORAL_BLOCK	Horn Coral Block	Bloc de corail corné
HORN_CORAL_FAN	Horn Coral Fan	Gorgone de corail corné
HORN_CORAL_WALL_FAN	Horn Coral Wall Fan	Gorgone de corail corné murale
HORSE_SPAWN_EGG	Horse Spawn Egg	Oeuf d'apparition de cheval
HOST_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
HOWL_POTTERY_SHERD	Howl Pottery Sherd	Tesson de poterie de loup
HUSK_SPAWN_EGG	Husk Spawn Egg	Oeuf d'apparition de momifié
ICE	Ice	Glace
INFESTED_CHISELED_STONE_BRICKS	Infested Chiseled Stone Bricks	Pierre sculptée infestée
INFESTED_COBBLESTONE	Infested Cobblestone	Pierres infestées
INFESTED_CRACKED_STONE_BRICKS	Infested Cracked Stone Bricks	Pierre taillée craquelée infestée
INFESTED_DEEPSLATE	Infested Deepslate	Ardoise des abîmes infestée
INFESTED_MOSSY_STONE_BRICKS	Infested Mossy Stone Bricks	Pierre taillée moussue infestée
INFESTED_STONE	Infested Stone	Roche infestée
INFESTED_STONE_BRICKS	Infested Stone Bricks	Pierre taillée infestée
INK_SAC	Ink Sac	Poche d'encre
IRON_AXE	Iron Axe	Hache en fer
IRON_BARS	Iron Bars	Barreaux de fer
IRON_BLOCK	Block of Iron	Bloc de fer
IRON_BOOTS	Iron Boots	Bottes en fer
IRON_CHAIN	Iron Chain	Chaîne en fer
IRON_CHESTPLATE	Iron Chestplate	Plastron en fer
IRON_DOOR	Iron Door	Porte en fer
IRON_GOLEM_SPAWN_EGG	Iron Golem Spawn Egg	Oeuf d'apparition de golem de fer
IRON_HELMET	Iron Helmet	Casque en fer
IRON_HOE	Iron Hoe	Houe en fer
IRON_HORSE_ARMOR	Iron Horse Armor	Armure en fer pour cheval
IRON_INGOT	Iron Ingot	Lingot de fer
IRON_LEGGINGS	Iron Leggings	Jambières en fer
IRON_NAUTILUS_ARMOR	Iron Nautilus Armor	Armure en fer pour nautile
IRON_NUGGET	Iron Nugget	Pépite de fer
IRON_ORE	Iron Ore	Minerai de fer
IRON_PICKAXE	Iron Pickaxe	Pioche en fer
IRON_SHOVEL	Iron Shovel	Pelle en fer
IRON_SPEAR	Iron Spear	Lance en fer
IRON_SWORD	Iron Sword	Épée en fer
IRON_TRAPDOOR	Iron Trapdoor	Trappe en fer
ITEM_FRAME	Item Frame	Cadre
JACK_O_LANTERN	Jack o'Lantern	Citrouille-lanterne
JIGSAW	Jigsaw Block	Bloc de puzzle
JUKEBOX	Jukebox	Jukebox
JUNGLE_BOAT	Jungle Boat	Bateau en acajou
JUNGLE_BUTTON	Jungle Button	Bouton en acajou
JUNGLE_CHEST_BOAT	Jungle Boat with Chest	Bateau de stockage en acajou
JUNGLE_DOOR	Jungle Door	Porte en acajou
JUNGLE_FENCE	Jungle Fence	Barrière en acajou
JUNGLE_FENCE_GATE	Jungle Fence Gate	Portillon en acajou
JUNGLE_HANGING_SIGN	Jungle Hanging Sign	Pancarte suspendue en acajou
JUNGLE_LEAVES	Jungle Leaves	Feuilles d'acajou
JUNGLE_LOG	Jungle Log	Bûche d'acajou
JUNGLE_PLANKS	Jungle Planks	Planches d'acajou
JUNGLE_PRESSURE_PLATE	Jungle Pressure Plate	Plaque de pression en acajou
JUNGLE_SAPLING	Jungle Sapling	Pousse d'acajou
JUNGLE_SHELF	Jungle Shelf	Étagère en acajou
JUNGLE_SIGN	Jungle Sign	Pancarte en acajou
JUNGLE_SLAB	Jungle Slab	Dalle en acajou
JUNGLE_STAIRS	Jungle Stairs	Escalier en acajou
JUNGLE_TRAPDOOR	Jungle Trapdoor	Trappe en acajou
JUNGLE_WALL_HANGING_SIGN	Jungle Wall Hanging Sign	Pancarte suspendue en acajou murale
JUNGLE_WALL_SIGN	Jungle Wall Sign	Pancarte en acajou murale
JUNGLE_WOOD	Jungle Wood	Bois d'acajou
KELP	Kelp	Algue
KELP_PLANT	Kelp Plant	Tige d'algue
KNOWLEDGE_BOOK	Knowledge Book	Livre des connaissances
LADDER	Ladder	Échelle
LANTERN	Lantern	Lanterne
LAPIS_BLOCK	Block of Lapis Lazuli	Bloc de lapis-lazuli
LAPIS_LAZULI	Lapis Lazuli	Lapis-lazuli
LAPIS_ORE	Lapis Lazuli Ore	Minerai de lapis-lazuli
LARGE_AMETHYST_BUD	Large Amethyst Bud	Grand cristal d'améthyste
LARGE_FERN	Large Fern	Grande fougère
LAVA	Lava	Lave
LAVA_BUCKET	Lava Bucket	Seau de lave
LAVA_CAULDRON	Lava Cauldron	Chaudron de lave
LEAD	Lead	Laisse
LEAF_LITTER	Leaf Litter	Tas de feuilles
LEATHER	Leather	Cuir
LEATHER_BOOTS	Leather Boots	Bottes en cuir
LEATHER_CHESTPLATE	Leather Tunic	Tunique en cuir
LEATHER_HELMET	Leather Cap	Chapeau en cuir
LEATHER_HORSE_ARMOR	Leather Horse Armor	Armure en cuir pour cheval
LEATHER_LEGGINGS	Leather Pants	Pantalon en cuir
LECTERN	Lectern	Pupitre
LEGACY_ACACIA_DOOR	Acacia Door	Porte en acacia
LEGACY_ACACIA_FENCE	Acacia Fence	Barrière en acacia
LEGACY_ACACIA_FENCE_GATE	Acacia Fence Gate	Portillon en acacia
LEGACY_ACACIA_STAIRS	Acacia Stairs	Escalier en acacia
LEGACY_ACTIVATOR_RAIL	Activator Rail	Rails déclencheurs
LEGACY_AIR	Air	Air
LEGACY_ANVIL	Anvil	Enclume
LEGACY_APPLE	Apple	Pomme
LEGACY_ARMOR_STAND	Armor Stand	Porte-armure
LEGACY_ARROW	Arrow	Flèche
LEGACY_BAKED_POTATO	Baked Potato	Pomme de terre cuite
LEGACY_BARRIER	Barrier	Barrière invisible
LEGACY_BEACON	Beacon	Balise
LEGACY_BEDROCK	Bedrock	Bedrock
LEGACY_BEETROOT	Beetroot	Betterave
LEGACY_BEETROOT_SEEDS	Beetroot Seeds	Graines de betterave
LEGACY_BEETROOT_SOUP	Beetroot Soup	Soupe de betteraves
LEGACY_BIRCH_DOOR	Birch Door	Porte en bouleau
LEGACY_BIRCH_FENCE	Birch Fence	Barrière en bouleau
LEGACY_BIRCH_FENCE_GATE	Birch Fence Gate	Portillon en bouleau
LEGACY_BLACK_GLAZED_TERRACOTTA	Black Glazed Terracotta	Terre cuite émaillée noire
LEGACY_BLACK_SHULKER_BOX	Black Shulker Box	Boîte de Shulker noire
LEGACY_BLAZE_POWDER	Blaze Powder	Poudre de Blaze
LEGACY_BLAZE_ROD	Blaze Rod	Bâton de Blaze
LEGACY_BLUE_GLAZED_TERRACOTTA	Blue Glazed Terracotta	Terre cuite émaillée bleue
LEGACY_BLUE_SHULKER_BOX	Blue Shulker Box	Boîte de Shulker bleue
LEGACY_BONE	Bone	Os
LEGACY_BONE_BLOCK	Bone Block	Bloc d'os
LEGACY_BOOK	Book	Livre
LEGACY_BOOKSHELF	Bookshelf	Bibliothèque
LEGACY_BOW	Bow	Arc
LEGACY_BOWL	Bowl	Bol
LEGACY_BREAD	Bread	Pain
LEGACY_BREWING_STAND	Brewing Stand	Alambic
LEGACY_BRICK	Brick	Brique
LEGACY_BRICK_STAIRS	Brick Stairs	Escalier en briques
LEGACY_BROWN_GLAZED_TERRACOTTA	Brown Glazed Terracotta	Terre cuite émaillée marron
LEGACY_BROWN_MUSHROOM	Brown Mushroom	Champignon brun
LEGACY_BROWN_SHULKER_BOX	Brown Shulker Box	Boîte de Shulker marron
LEGACY_BUCKET	Bucket	Seau
LEGACY_CACTUS	Cactus	Cactus
LEGACY_CAKE	Cake	Gâteau
LEGACY_CARROT	Carrot	Carotte
LEGACY_CAULDRON	Cauldron	Chaudron
LEGACY_CHAINMAIL_BOOTS	Chainmail Boots	Bottes de mailles
LEGACY_CHAINMAIL_CHESTPLATE	Chainmail Chestplate	Cotte de mailles
LEGACY_CHAINMAIL_HELMET	Chainmail Helmet	Casque de mailles
LEGACY_CHAINMAIL_LEGGINGS	Chainmail Leggings	Jambières de mailles
LEGACY_CHEST	Chest	Coffre
LEGACY_CHORUS_FLOWER	Chorus Flower	Fleur de chorus
LEGACY_CHORUS_FRUIT	Chorus Fruit	Chorus
LEGACY_CHORUS_PLANT	Chorus Plant	Plante de chorus
LEGACY_CLAY	Clay	Argile
LEGACY_CLAY_BALL	Clay Ball	Motte d'argile
LEGACY_COAL	Coal	Charbon
LEGACY_COAL_BLOCK	Block of Coal	Bloc de charbon
LEGACY_COAL_ORE	Coal Ore	Minerai de charbon
LEGACY_COBBLESTONE	Cobblestone	Pierres
LEGACY_COBBLESTONE_STAIRS	Cobblestone Stairs	Escalier en pierre
LEGACY_COCOA	Cocoa	Cacao
LEGACY_COMPASS	Compass	Boussole
LEGACY_COOKED_BEEF	Steak	Steak
LEGACY_COOKED_CHICKEN	Cooked Chicken	Poulet rôti
LEGACY_COOKED_MUTTON	Cooked Mutton	Mouton cuit
LEGACY_COOKED_RABBIT	Cooked Rabbit	Lapin cuit
LEGACY_COOKIE	Cookie	Cookie
LEGACY_CYAN_GLAZED_TERRACOTTA	Cyan Glazed Terracotta	Terre cuite émaillée cyan
LEGACY_CYAN_SHULKER_BOX	Cyan Shulker Box	Boîte de Shulker cyan
LEGACY_DARK_OAK_DOOR	Dark Oak Door	Porte en chêne noir
LEGACY_DARK_OAK_FENCE	Dark Oak Fence	Barrière en chêne noir
LEGACY_DARK_OAK_FENCE_GATE	Dark Oak Fence Gate	Portillon en chêne noir
LEGACY_DARK_OAK_STAIRS	Dark Oak Stairs	Escalier en chêne noir
LEGACY_DAYLIGHT_DETECTOR	Daylight Detector	Capteur de lumière
LEGACY_DEAD_BUSH	Dead Bush	Buisson mort
LEGACY_DETECTOR_RAIL	Detector Rail	Rails détecteurs
LEGACY_DIAMOND	Diamond	Diamant
LEGACY_DIAMOND_AXE	Diamond Axe	Hache en diamant
LEGACY_DIAMOND_BLOCK	Block of Diamond	Bloc de diamant
LEGACY_DIAMOND_BOOTS	Diamond Boots	Bottes en diamant
LEGACY_DIAMOND_CHESTPLATE	Diamond Chestplate	Plastron en diamant
LEGACY_DIAMOND_HELMET	Diamond Helmet	Casque en diamant
LEGACY_DIAMOND_HOE	Diamond Hoe	Houe en diamant
LEGACY_DIAMOND_LEGGINGS	Diamond Leggings	Jambières en diamant
LEGACY_DIAMOND_ORE	Diamond Ore	Minerai de diamant
LEGACY_DIAMOND_PICKAXE	Diamond Pickaxe	Pioche en diamant
LEGACY_DIAMOND_SWORD	Diamond Sword	Épée en diamant
LEGACY_DIRT	Dirt	Terre
LEGACY_DISPENSER	Dispenser	Distributeur
LEGACY_DRAGON_EGG	Dragon Egg	Oeuf de dragon
LEGACY_DROPPER	Dropper	Dropper
LEGACY_EGG	Egg	Oeuf
LEGACY_ELYTRA	Elytra	Élytres
LEGACY_EMERALD	Emerald	Émeraude
LEGACY_EMERALD_BLOCK	Block of Emerald	Bloc d'émeraude
LEGACY_EMERALD_ORE	Emerald Ore	Minerai d'émeraude
LEGACY_ENCHANTED_BOOK	Enchanted Book	Livre enchanté
LEGACY_ENDER_CHEST	Ender Chest	Coffre de l'Ender
LEGACY_ENDER_PEARL	Ender Pearl	Perle de l'Ender
LEGACY_END_CRYSTAL	End Crystal	Cristal de l'End
LEGACY_END_GATEWAY	End Gateway	Passerelle de l'End
LEGACY_END_ROD	End Rod	Barre de l'End
LEGACY_FEATHER	Feather	Plume
LEGACY_FERMENTED_SPIDER_EYE	Fermented Spider Eye	Oeil d'araignée fermenté
LEGACY_FIRE	Fire	Feu
LEGACY_FISHING_ROD	Fishing Rod	Canne à pêche
LEGACY_FLINT	Flint	Silex
